Object ID,Entry Time (EST),Exit Time (EST),Time Taken (s),Speed (m/s),Speed (mph)
326,2025-06-09 09:15:21,2025-06-09 09:15:25,3.78,5.65,12.64
12,2025-06-09 09:19:41,2025-06-09 09:19:43,1.62,13.22,29.56
18,2025-06-09 09:19:44,2025-06-09 09:19:46,1.63,13.13,29.37
40,2025-06-09 09:19:46,2025-06-09 09:19:48,1.69,12.68,28.36
55,2025-06-09 09:19:48,2025-06-09 09:19:51,2.09,10.22,22.87
68,2025-06-09 09:19:52,2025-06-09 09:19:54,2.16,9.89,22.12
6,2025-06-09 09:22:34,2025-06-09 09:22:36,2.7,7.91,17.69
59,2025-06-09 09:22:47,2025-06-09 09:22:48,1.01,21.13,47.27
78,2025-06-09 09:22:50,2025-06-09 09:22:51,1.01,21.13,47.26
19,2025-06-09 16:34:11,2025-06-09 16:34:14,2.85,6.15,13.76
669,2025-06-09 16:34:14,2025-06-09 16:34:17,2.5,7.01,15.69
450,2025-06-09 16:34:14,2025-06-09 16:34:17,2.36,7.4,16.56
680,2025-06-09 16:34:17,2025-06-09 16:34:19,2.03,8.63,19.31
706,2025-06-09 16:34:18,2025-06-09 16:34:20,1.96,8.94,20.0
440,2025-06-09 16:34:19,2025-06-09 16:34:22,2.91,6.01,13.44
848,2025-06-09 16:34:36,2025-06-09 16:34:37,1.01,17.27,38.64
1035,2025-06-09 16:35:13,2025-06-09 16:35:15,1.47,11.89,26.59
1064,2025-06-09 16:35:16,2025-06-09 16:35:18,1.21,14.41,32.24
1010,2025-06-09 16:35:09,2025-06-09 16:35:19,10.12,1.73,3.87
127,2025-06-09 16:36:56,2025-06-09 16:36:59,2.9,6.2,13.87
266,2025-06-09 16:37:08,2025-06-09 16:37:11,2.41,7.45,16.67
41,2025-06-09 16:36:49,2025-06-09 16:37:17,27.93,0.64,1.44
70,2025-06-09 16:40:18,2025-06-09 16:40:21,2.56,7.01,15.69
113,2025-06-09 16:40:21,2025-06-09 16:40:23,2.36,7.61,17.03
203,2025-06-09 16:40:25,2025-06-09 16:40:26,1.76,10.24,22.91
226,2025-06-09 16:40:27,2025-06-09 16:40:30,2.17,8.28,18.52
236,2025-06-09 16:40:30,2025-06-09 16:40:31,1.55,11.59,25.92
277,2025-06-09 16:40:41,2025-06-09 16:40:42,1.01,17.89,40.01
429,2025-06-09 16:41:06,2025-06-09 16:41:07,1.42,12.68,28.37
7,2025-06-09 16:50:33,2025-06-09 16:50:34,1.62,11.12,24.88
19,2025-06-09 16:50:36,2025-06-09 16:50:37,1.28,14.03,31.38
33,2025-06-09 16:50:39,2025-06-09 16:50:41,1.71,10.54,23.58
51,2025-06-09 16:50:41,2025-06-09 16:50:43,1.56,11.56,25.86
85,2025-06-09 16:50:43,2025-06-09 16:50:44,1.35,13.35,29.86
115,2025-06-09 16:50:45,2025-06-09 16:50:47,2.02,8.88,19.87
209,2025-06-09 16:50:53,2025-06-09 16:50:55,1.08,16.68,37.3
232,2025-06-09 16:50:56,2025-06-09 16:50:58,1.49,12.06,26.98
247,2025-06-09 16:50:59,2025-06-09 16:51:00,1.35,13.36,29.88
283,2025-06-09 16:51:01,2025-06-09 16:51:03,1.26,14.25,31.88
309,2025-06-09 16:51:04,2025-06-09 16:51:04,0.94,19.07,42.67
335,2025-06-09 16:51:06,2025-06-09 16:51:07,0.94,19.03,42.57
345,2025-06-09 16:51:08,2025-06-09 16:51:09,0.94,19.09,42.7
350,2025-06-09 16:51:10,2025-06-09 16:51:11,1.01,17.82,39.87
360,2025-06-09 16:51:13,2025-06-09 16:51:13,0.88,20.49,45.84
399,2025-06-09 16:51:17,2025-06-09 16:51:17,0.88,20.46,45.77
404,2025-06-09 16:51:18,2025-06-09 16:51:19,1.2,15.03,33.61
532,2025-06-09 16:54:35,2025-06-09 16:54:36,1.55,11.6,25.94
550,2025-06-09 16:54:37,2025-06-09 16:54:39,1.55,11.58,25.91
578,2025-06-09 16:54:40,2025-06-09 16:54:41,1.56,11.56,25.86
663,2025-06-09 16:54:48,2025-06-09 16:54:48,0.95,19.0,42.5
675,2025-06-09 16:54:49,2025-06-09 16:54:50,0.81,22.23,49.73
795,2025-06-09 16:55:06,2025-06-09 16:55:07,1.08,16.62,37.17
883,2025-06-09 16:55:19,2025-06-09 16:55:20,0.88,20.33,45.48
319,2025-06-09 16:54:16,2025-06-09 16:55:44,87.27,0.21,0.46
